"","V1","V2","V3"
"TCGA.24.2027","2","3","4"
"TCGA.30.1860","1","2","2"
"TCGA.30.1891","1","1","3"
"TCGA.31.1956","1","1","2"
"TCGA.61.1743","2","3","4"
"TCGA.24.1924","1","2","2"
"TCGA.24.2029","1","1","2"
"TCGA.30.1861","1","1","3"
"TCGA.30.1892","1","1","3"
"TCGA.31.1959","1","1","3"
"TCGA.61.1917","1","3","2"
"TCGA.25.1870","2","3","1"
"TCGA.30.1862","1","1","3"
"TCGA.31.1944","1","1","1"
"TCGA.57.1992","2","3","4"
"TCGA.61.1918","1","2","1"
"TCGA.24.1928","1","1","3"
"TCGA.25.1871","2","3","4"
"TCGA.30.1866","2","2","4"
"TCGA.31.1946","1","1","2"
"TCGA.57.1993","2","2","1"
"TCGA.61.1919","1","1","2"
"TCGA.24.1930","1","1","2"
"TCGA.25.1877","2","3","4"
"TCGA.31.1950","1","2","1"
"TCGA.04.1517","2","3","1"
"TCGA.24.1556","1","2","2"
"TCGA.36.1571","2","3","4"
"TCGA.57.1582","2","3","4"
"TCGA.25.1628","1","1","3"
"TCGA.25.1634","2","3","4"
"TCGA.36.1576","1","1","3"
"TCGA.24.1557","2","2","1"
"TCGA.09.1659","1","2","1"
"TCGA.25.1625","1","1","1"
"TCGA.09.1661","2","3","4"
"TCGA.09.1662","1","2","1"
"TCGA.04.1525","2","2","1"
"TCGA.24.1558","2","3","4"
"TCGA.36.1575","2","3","4"
"TCGA.57.1584","2","2","1"
"TCGA.25.1631","2","3","1"
"TCGA.09.1665","2","2","1"
"TCGA.04.1536","2","2","1"
"TCGA.36.1578","1","2","1"
"TCGA.25.1627","2","3","4"
"TCGA.04.1519","2","3","1"
"TCGA.25.1630","1","1","2"
"TCGA.24.1560","2","3","4"
"TCGA.24.1544","2","3","4"
"TCGA.24.1567","2","3","4"
"TCGA.36.1577","2","3","4"
"TCGA.25.1623","1","1","3"
"TCGA.25.1633","1","1","3"
"TCGA.09.1667","1","2","2"
"TCGA.24.1545","1","1","3"
"TCGA.36.1568","1","1","1"
"TCGA.57.1583","2","3","4"
"TCGA.36.1581","1","2","2"
"TCGA.09.1666","1","2","1"
"TCGA.25.1632","2","3","4"
"TCGA.24.1546","1","1","3"
"TCGA.36.1569","1","1","3"
"TCGA.36.1580","1","1","3"
"TCGA.25.1626","1","1","3"
"TCGA.25.1635","1","1","3"
"TCGA.09.1669","2","3","4"
"TCGA.24.1548","2","2","4"
"TCGA.36.1570","2","2","1"
"TCGA.57.1585","1","1","3"
"TCGA.09.1668","1","1","2"
"TCGA.36.1574","1","2","2"
"TCGA.29.2434","2","3","4"
"TCGA.23.2643","2","3","4"
"TCGA.29.2436","1","2","2"
"TCGA.23.2645","1","1","2"
"TCGA.42.2582","2","3","4"
"TCGA.13.2059","2","1","3"
"TCGA.36.2530","1","1","3"
"TCGA.36.2542","2","3","4"
"TCGA.42.2587","2","3","4"
"TCGA.23.2649","1","1","2"
"TCGA.36.2543","1","2","2"
"TCGA.59.2372","1","2","2"
"TCGA.13.2065","1","1","2"
"TCGA.29.2429","2","3","4"
"TCGA.36.2533","2","3","4"
"TCGA.42.2589","2","2","4"
"TCGA.29.2431","2","2","4"
"TCGA.36.2534","1","2","1"
"TCGA.36.2545","1","2","2"
"TCGA.61.2612","2","2","1"
"TCGA.23.1114","2","3","4"
"TCGA.29.1691","2","3","4"
"TCGA.29.1701","1","1","2"
"TCGA.30.1718","1","1","2"
"TCGA.29.1771","1","2","1"
"TCGA.57.1586","2","3","1"
"TCGA.20.1683","2","3","4"
"TCGA.29.1693","1","1","3"
"TCGA.29.1702","2","3","4"
"TCGA.29.1761","1","2","2"
"TCGA.29.1781","1","2","2"
"TCGA.04.1655","2","3","4"
"TCGA.20.1684","2","3","4"
